obs,output,labor,capital,lnoutput,lnlabor,lncapital,lnoutlab,lncaplab,outputstar,capitalstar,laborstar
1,38372840,424471,2689076,17.4628601074219,12.9585990905762,14.804708480835,4.50426149368286,1.8461092710495,-0.107987359166145,0.0636888742446899,0.13438905775547
2,1805427,19895,57997,14.406307220459,9.89822387695313,10.9681463241577,4.50808382034302,1.06992280483246,-0.923066020011902,-0.905514001846314,-0.94105327129364
3,23736129,206893,2308272,16.9825096130371,12.2399568557739,14.6520099639893,4.74255180358887,2.41205263137817,-0.4342360496521,-0.0765867829322815,-0.443975925445557
4,26981983,304055,1376235,17.1106796264648,12.624963760376,14.134861946106,4.48571586608887,1.50989818572998,-0.361886769533157,-0.419918537139893,-0.185700267553329
5,217546032,1809756,13554116,19.1979217529297,14.4087028503418,16.4222011566162,4.78921842575073,2.01349830627441,3.88573908805847,4.06601190567017,3.81674814224243
6,19462751,180366,1790751,16.7840137481689,12.1027431488037,14.3981456756592,4.68126964569092,2.29540228843689,-0.529488623142242,-0.267224490642548,-0.514489889144897
7,28972772,224267,1210229,17.1818675994873,12.320592880249,14.0063199996948,4.86127424240112,1.68572759628296,-0.317512571811676,-0.481069684028626,-0.397792428731918
8,14313157,54455,421064,16.4766902923584,10.9051303863525,12.9505405426025,5.57155990600586,2.04541015625,-0.644271790981293,-0.771772086620331,-0.84918600320816
9,159921,2029,7188,11.9824352264404,7.6152982711792,8.88016796112061,4.36713695526123,1.26486992835999,-0.959743976593018,-0.924230396747589,-0.988544583320618
10,47289846,471211,2761281,17.6718063354492,13.0630617141724,14.831205368042,4.60874509811401,1.7681440114975,0.0907705202698708,0.0902868211269379,0.258633136749268
11,63015125,659379,3540475,17.9588851928711,13.3990535736084,15.0797710418701,4.5598316192627,1.6807177066803,0.441283136606216,0.377316236495972,0.758820593357086
12,1809052,17528,146371,14.4083137512207,9.77155494689941,11.8938999176025,4.63675880432129,2.12234497070312,-0.922985196113586,-0.872959971427918,-0.947345197200775
13,10511786,75414,848220,16.1680068969727,11.2307481765747,13.6508951187134,4.93725967407227,2.42014718055725,-0.729003429412842,-0.614421904087067,-0.79347288608551
14,105324866,963156,5870409,18.4725608825684,13.7779703140259,15.5854349136353,4.69458961486816,1.80746424198151,1.38435685634613,1.23558723926544,1.56631934642792
15,90120459,835083,5832503,18.3166580200195,13.6352863311768,15.5789566040039,4.68137121200562,1.94367039203644,1.04545438289642,1.22162389755249,1.22587621212006
16,39079550,336159,1795976,17.4811096191406,12.7253398895264,14.4010591506958,4.75577020645142,1.6757196187973,-0.0922349616885185,-0.265299767255783,-0.100361548364162
17,22826760,246144,1595118,16.9434432983398,12.4136724472046,14.2824583053589,4.52977228164673,1.86878621578217,-0.454505681991577,-0.339289247989655,-0.339639067649841
18,38686340,384484,2503693,17.4709968566895,12.8596572875977,14.7332773208618,4.6113395690918,1.87361991405487,-0.100999519228935,-0.00460011744871736,0.0280957762151957
19,69910555,216149,4726625,18.0627269744873,12.2837228775024,15.3687219619751,5.77900409698486,3.0849986076355,0.594980597496033,0.814254879951477,-0.419371664524078
20,7856947,82021,415131,15.8769083023071,11.3147306442261,12.9363498687744,4.56217813491821,1.62161886692047,-0.788179099559784,-0.77395761013031,-0.775910139083862
21,21352966,174855,1729116,16.8767013549805,12.0717124938965,14.3631210327148,4.80498886108398,2.29140853881836,-0.487356185913086,-0.289928793907166,-0.529139220714569
22,46044292,355701,2706065,17.6451148986816,12.7818460464478,14.8110065460205,4.86326837539673,2.02916026115417,0.0630074292421341,0.0699470639228821,-0.0484150797128677
23,92335528,943298,5294356,18.3409404754639,13.757137298584,15.4821519851685,4.58380222320557,1.7250143289566,1.09482777118683,1.02338826656342,1.51353287696838
24,48304274,456553,2833525,17.6930313110352,13.0314598083496,14.8570318222046,4.66157054901123,1.82557201385498,0.113381870090961,0.116899132728577,0.219669312238693
25,17207903,267806,1212281,16.6608791351318,12.4980182647705,14.0080146789551,4.16286134719849,1.50999617576599,-0.579748630523682,-0.480313777923584,-0.282057225704193
26,47340157,439427,2404122,17.6728687286377,12.9932270050049,14.6926956176758,4.67964267730713,1.69946849346161,0.0918919369578362,-0.0412787981331348,0.174145042896271
27,2644567,24167,334008,14.7880182266235,10.0927429199219,12.7189197540283,4.69527435302734,2.62617683410645,-0.90436178445816,-0.803840637207031,-0.929697453975678
28,14650080,163637,627806,16.4999561309814,12.0054054260254,13.349986076355,4.49455070495606,1.34458065032959,-0.636761844158173,-0.695615172386169,-0.558958828449249
29,7290360,59737,522335,15.8020639419556,10.997706413269,13.1660642623901,4.80435657501221,2.16835761070251,-0.800808191299439,-0.734467208385468,-0.83514541387558
30,9188322,96106,507488,16.0334434509277,11.4732074737549,13.137228012085,4.56023693084717,1.66402137279511,-0.758503079414368,-0.739936351776123,-0.738469481468201
31,51298516,407076,3295056,17.7531719207764,12.9167547225952,15.0079336166382,4.83641719818115,2.09117865562439,0.180122792720795,0.286911964416504,0.0881497412919998
32,20401410,43079,404749,16.8311138153076,10.6707906723022,12.9110221862793,6.16032361984253,2.24023151397705,-0.50856614112854,-0.777782022953033,-0.879425644874573
33,87756129,727177,4260353,18.2900714874268,13.4969253540039,15.2648630142212,4.79314708709717,1.76793742179871,0.99275404214859,0.642495632171631,0.939040958881378
34,101268432,820013,4086558,18.4332847595215,13.617075920105,15.2232131958008,4.81620979309082,1.60613811016083,1.29393994808197,0.5784752368927,1.1858172416687
35,3556025,34723,184700,15.0841541290283,10.4551572799683,12.1264877319336,4.6289963722229,1.67133057117462,-0.884045600891113,-0.858840823173523,-0.901637494564056
36,124986166,1174540,6301421,18.6437129974365,13.9763870239258,15.6562852859497,4.6673264503479,1.67989861965179,1.82260239124298,1.39435791969299,2.12821960449219
37,20451196,201284,1327353,16.8335514068604,12.2124719619751,14.0986976623535,4.62107992172241,1.88622522354126,-0.507456421852112,-0.437925040721893,-0.458885729312897
38,34808109,257820,1456683,17.3653602600098,12.4600172042847,14.1916723251343,4.90534400939941,1.73165559768677,-0.187444344162941,-0.390284150838852,-0.308601975440979
39,104858322,944998,5896392,18.4681205749512,13.7589378356934,15.5898513793945,4.70918273925781,1.83091306686401,1.37395775318146,1.24515855312347,1.51805186271667
40,6541356,68987,297618,15.6936550140381,11.1416730880737,12.6035661697388,4.5519814491272,1.46189272403717,-0.817503333091736,-0.817245543003082,-0.810557067394257
41,37668126,400317,2500071,17.4443244934082,12.9000120162964,14.7318296432495,4.54431295394897,1.83181762695313,-0.123695261776447,-0.00593434320762754,0.0701829940080643
42,4988905,56524,311251,15.4227266311646,10.9424209594727,12.6483545303345,4.48030662536621,1.70593428611755,-0.852107107639313,-0.812223613262177,-0.843686163425446
43,62828100,582241,4126465,17.9559135437012,13.274640083313,15.2329320907593,4.68127346038818,1.958291888237,0.437114387750626,0.593175649642944,0.553772628307343
44,172960157,1120382,11588283,18.9685726165771,13.9291801452637,16.2655048370361,5.03939151763916,2.33632469177246,2.89193081855774,3.34186387062073,1.98425686359406
45,15702637,150030,762671,16.5693397521973,11.9185905456543,13.5445823669434,4.65074872970581,1.62599146366119,-0.613300621509552,-0.645935297012329,-0.595128893852234
46,5418786,48134,276293,15.5053825378418,10.7817440032959,12.5292167663574,4.72363805770874,1.74747312068939,-0.842525124549866,-0.825100958347321,-0.865988433361053
47,49166991,425346,2731669,17.7107334136963,12.9606580734253,14.8204231262207,4.75007486343384,1.85976505279541,0.132611617445946,0.0793787389993668,0.136714980006218
48,46164427,313279,1945860,17.6477203369141,12.6548490524292,14.4812145233154,4.99287080764771,1.82636511325836,0.0656852051615715,-0.210087433457375,-0.161181077361107
49,9185967,89639,685587,16.0331878662109,11.4035453796387,13.4380302429199,4.62964200973511,2.03448486328125,-0.758555591106415,-0.674330532550812,-0.755660057067871
50,66964978,694628,3902823,18.0196800231934,13.4511318206787,15.1772108078003,4.56854867935181,1.72607898712158,0.529324412345886,0.510793328285217,0.852519333362579
51,2979475,15221,361536,14.9072580337524,9.63043117523193,12.79811668396,5.27682638168335,3.16768550872803,-0.896896779537201,-0.793700218200684,-0.953477680683136
