date,rgdppc,tb3ms,gs10
1955-01-01,18396,1.22,2.61
1955-04-01,18621,1.59,2.75
1955-07-01,18787,1.6,2.9
1955-10-01,18808,2.23,2.88
1956-01-01,18658,2.41,2.9
1956-04-01,18736,2.6,3.18
1956-07-01,18632,2.31,3.11
1956-10-01,18845,2.9,3.34
1957-01-01,18881,3.11,3.46
1957-04-01,18763,3.07,3.48
1957-07-01,18862,3.16,3.93
1957-10-01,18582,3.58,3.97
1958-01-01,18032,2.44,3.09
1958-04-01,18081,1.13,2.88
1958-07-01,18419,0.91,3.2
1958-10-01,18764,2.63,3.8
1959-01-01,19041,2.82,4.02
1959-04-01,19395,2.95,4.12
1959-07-01,19326,3.2,4.4
1959-10-01,19296,4.05,4.53
1960-01-01,19614,4.35,4.72
1960-04-01,19392,3.23,4.28
1960-07-01,19390,2.3,3.9
1960-10-01,19065,2.3,3.89
1961-01-01,19130,2.24,3.84
1961-04-01,19380,2.29,3.78
1961-07-01,19670,2.24,3.92
1961-10-01,19970,2.3,3.92
1962-01-01,20254,2.72,4.08
1962-04-01,20366,2.73,3.84
1962-07-01,20536,2.92,4.01
1962-10-01,20521,2.74,3.93
1963-01-01,20677,2.91,3.83
1963-04-01,20842,2.9,3.97
1963-07-01,21219,3.18,4.02
1963-10-01,21276,3.45,4.11
1964-01-01,21657,3.52,4.17
1964-04-01,21824,3.47,4.23
1964-07-01,22085,3.46,4.19
1964-10-01,22075,3.57,4.19
1965-01-01,22547,3.81,4.19
1965-04-01,22770,3.93,4.2
1965-07-01,23198,3.84,4.2
1965-10-01,23656,4.03,4.35
1966-01-01,24172,4.59,4.61
1966-04-01,24191,4.62,4.75
1966-07-01,24321,4.8,5.02
1966-10-01,24446,5.35,5.01
1967-01-01,24602,4.72,4.58
1967-04-01,24556,3.84,4.59
1967-07-01,24719,4.21,5.16
1967-10-01,24836,4.56,5.48
1968-01-01,25288,5,5.53
1968-04-01,25652,5.38,5.64
1968-07-01,25781,5.31,5.5
1968-10-01,25813,5.35,5.58
1969-01-01,26162,6.14,6.04
1969-04-01,26181,6.11,6.17
1969-07-01,26281,7,6.72
1969-10-01,26076,7,7.1
1970-01-01,25973,7.87,7.79
1970-04-01,25929,6.51,7.39
1970-07-01,26079,6.45,7.46
1970-10-01,25710,5.91,7.33
1971-01-01,26328,4.44,6.24
1971-04-01,26394,3.86,5.83
1971-07-01,26529,5.4,6.73
1971-10-01,26510,4.46,5.93
1972-01-01,26932,3.38,5.95
1972-04-01,27478,3.71,6.19
1972-07-01,27666,3.98,6.11
1972-10-01,28055,4.74,6.48
1973-01-01,28687,5.41,6.46
1973-04-01,28935,6.26,6.67
1973-07-01,28711,8.01,7.13
1973-10-01,28913,7.22,6.79
1974-01-01,28606,7.77,6.99
1974-04-01,28613,8.33,7.51
1974-07-01,28270,7.55,7.81
1974-10-01,28088,7.46,7.9
1975-01-01,27690,6.26,7.5
1975-04-01,27821,5.61,8.23
1975-07-01,28214,6.13,8.06
1975-10-01,28520,5.96,8.14
1976-01-01,29099,4.87,7.74
1976-04-01,29250,4.86,7.56
1976-07-01,29335,5.23,7.83
1976-10-01,29469,4.92,7.41
1977-01-01,29749,4.62,7.21
1977-04-01,30254,4.54,7.37
1977-07-01,30713,5.19,7.33
1977-10-01,30626,6.16,7.52
1978-01-01,30653,6.44,7.96
1978-04-01,31757,6.29,8.15
1978-07-01,31982,7.01,8.64
1978-10-01,32318,7.99,8.64
1979-01-01,32294,9.35,9.1
1979-04-01,32244,9.46,9.18
1979-07-01,32386,9.24,8.95
1979-10-01,32366,11.7,10.3
1980-01-01,32377,12,10.8
1980-04-01,31621,13.2,11.47
1980-07-01,31489,8.06,10.25
1980-10-01,31990,11.62,11.75
1981-01-01,32550,15.02,12.57
1981-04-01,32236,13.69,13.68
1981-07-01,32533,14.95,14.28
1981-10-01,32095,13.54,15.15
1982-01-01,31529,12.28,14.59
1982-04-01,31603,12.7,13.87
1982-07-01,31402,11.35,13.95
1982-10-01,31337,7.71,10.91
1983-01-01,31686,7.86,10.46
1983-04-01,32340,8.21,10.4
1983-07-01,32906,9.08,11.38
1983-10-01,33513,8.64,11.54
1984-01-01,34103,8.9,11.67
1984-04-01,34622,9.69,12.63
1984-07-01,34871,10.12,13.36
1984-10-01,35072,9.74,12.16
1985-01-01,35346,7.76,11.38
1985-04-01,35582,7.95,11.43
1985-07-01,36033,7.08,10.31
1985-10-01,36210,7.16,10.24
1986-01-01,36476,7.07,9.19
1986-04-01,36563,6.06,7.3
1986-07-01,36822,5.83,7.3
1986-10-01,36931,5.18,7.43
1987-01-01,37132,5.43,7.08
1987-04-01,37454,5.64,8.02
1987-07-01,37685,5.69,8.45
1987-10-01,38238,6.13,9.52
1988-01-01,38359,5.81,8.67
1988-04-01,38782,5.91,8.72
1988-07-01,38908,6.73,9.06
1988-10-01,39328,7.35,8.8
1989-01-01,39648,8.27,9.09
1989-04-01,39861,8.65,9.18
1989-07-01,40046,7.88,8.02
1989-10-01,40015,7.64,8.01
1990-01-01,40361,7.64,8.21
1990-04-01,40382,7.77,8.79
1990-07-01,40266,7.62,8.47
1990-10-01,39759,7.17,8.72
1991-01-01,39451,6.22,8.09
1991-04-01,39632,5.65,8.04
1991-07-01,39691,5.58,8.27
1991-10-01,39694,4.99,7.53
1992-01-01,40051,3.8,7.03
1992-04-01,40350,3.75,7.48
1992-07-01,40599,3.21,6.84
1992-10-01,40881,2.86,6.59
1993-01-01,40829,3,6.6
1993-04-01,40942,2.87,5.97
1993-07-01,40997,3.04,5.81
1993-10-01,41423,3.02,5.33
1994-01-01,41713,2.98,5.75
1994-04-01,42154,3.68,6.97
1994-07-01,42264,4.33,7.3
1994-10-01,42618,4.95,7.74
1995-01-01,42654,5.71,7.78
1995-04-01,42660,5.65,7.06
1995-07-01,42885,5.42,6.28
1995-10-01,43044,5.28,6.04
1996-01-01,43259,5,5.65
1996-04-01,43856,4.95,6.51
1996-07-01,44105,5.15,6.87
1996-10-01,44421,4.99,6.53
1997-01-01,44590,5.03,6.58
1997-04-01,45203,5.16,6.89
1997-07-01,45616,5.05,6.22
1997-10-01,45862,4.97,6.03
1998-01-01,46204,5.04,5.54
1998-04-01,46504,4.95,5.64
1998-07-01,46943,4.96,5.46
1998-10-01,47555,3.96,4.53
1999-01-01,47880,4.34,4.72
1999-04-01,48148,4.29,5.18
1999-07-01,48632,4.55,5.79
1999-10-01,49281,4.86,6.11
2000-01-01,49335,5.32,6.66
2000-04-01,50109,5.66,5.99
2000-07-01,50024,5.96,6.05
2000-10-01,50190,6.11,5.74
2001-01-01,49911,5.15,5.16
2001-04-01,50105,3.87,5.14
2001-07-01,49774,3.51,5.24
2001-10-01,49783,2.16,4.57
2002-01-01,50091,1.65,5.04
2002-04-01,50286,1.71,5.21
2002-07-01,50362,1.68,4.65
2002-10-01,50302,1.58,3.94
2003-01-01,50462,1.17,4.05
2003-04-01,50796,1.13,3.96
2003-07-01,51512,0.9,3.98
2003-10-01,51986,0.92,4.29
2004-01-01,52179,0.88,4.15
2004-04-01,52469,0.94,4.35
2004-07-01,52835,1.33,4.5
2004-10-01,53242,1.76,4.1
2005-01-01,53719,2.33,4.22
2005-04-01,53868,2.78,4.34
2005-07-01,54153,3.22,4.18
2005-10-01,54317,3.71,4.46
2006-01-01,54927,4.24,4.42
2006-04-01,54945,4.6,4.99
2006-07-01,54886,4.95,5.09
2006-10-01,55216,4.92,4.73
2007-01-01,55260,4.98,4.76
2007-04-01,55474,4.87,4.69
2007-07-01,55649,4.82,5
2007-10-01,55857,3.9,4.53
2008-01-01,55497,2.75,3.74
2008-04-01,55705,1.29,3.68
2008-07-01,55278,1.63,4.01
2008-10-01,53941,0.67,3.81
2009-01-01,53221,0.13,2.52
2009-04-01,53017,0.16,2.93
2009-07-01,53081,0.18,3.56
2009-10-01,53531,0.07,3.39
2010-01-01,53683,0.06,3.73
2010-04-01,54100,0.16,3.85
2010-07-01,54401,0.16,3.01
2010-10-01,54569,0.13,2.54
2011-01-01,54341,0.15,3.39
2011-04-01,54610,0.06,3.46
2011-07-01,54482,0.04,3
2011-10-01,54979,0.02,2.15
2012-01-01,55342,0.03,1.97
2012-04-01,55490,0.08,2.05
2012-07-01,55454,0.1,1.53
2012-10-01,55403,0.1,1.75
2013-01-01,55859,0.07,1.91
2013-04-01,55914,0.06,1.76
2013-07-01,56272,0.04,2.58
2013-10-01,56642,0.05,2.62
2014-01-01,56345,0.04,2.86
2014-04-01,56968,0.03,2.71
2014-07-01,57536,0.03,2.54
2014-10-01,57702,0.02,2.3
2015-01-01,58121,0.03,1.88
2015-04-01,58376,0.02,1.94
2015-07-01,58486,0.03,2.32
2015-10-01,58470,0.02,2.07
2016-01-01,58704,0.26,2.09
2016-04-01,58787,0.23,1.81
2016-07-01,59084,0.3,1.5
2016-10-01,59296,0.33,1.76
2017-01-01,59494,0.51,2.43
2017-04-01,59736,0.8,2.3
2017-07-01,60099,1.07,2.32
2017-10-01,60674,1.07,2.36
2018-01-01,61093,1.41,2.58
2018-04-01,61336,1.76,2.87
2018-07-01,61622,1.96,2.89
2018-10-01,61619,2.25,3.15
2019-01-01,61889,2.37,2.71
2019-04-01,62331,2.38,2.53
2019-07-01,62945,2.1,2.06
2019-10-01,63257,1.65,1.71
2020-01-01,62333,1.52,1.76
2020-04-01,57386,0.14,0.66
2020-07-01,61806,0.13,0.62
2020-10-01,62414,0.1,0.79
2021-01-01,63227,0.08,1.08
2021-04-01,64157,0.02,1.64
2021-07-01,64615,0.05,1.32
2021-10-01,65651,0.05,1.58
2022-01-01,65286,0.15,1.76
2022-04-01,65127,0.76,2.75
2022-07-01,65462,2.23,2.9
2022-10-01,65783,3.72,3.98
2023-01-01,66078,4.54,3.53
2023-04-01,66341,4.92,3.46
2023-07-01,67039,5.25,3.9
